src_team,src_image,win,team,slot_index,hero,kills,assists,deaths,damage,heal,mitig
blue,blue_2025-11-26_01-31-59.png,0,red,3,kiriko,6,11,9,1915,10472,0
blue,blue_2025-11-26_01-31-59.png,0,red,4,ana,11,15,7,9065,4887,547
blue,blue_2025-11-26_01-32-05.png,1,blue,0,doomfist,10,2,2,6734,273,3943
blue,blue_2025-11-26_01-32-05.png,1,blue,1,sombra,13,0,3,2771,557,0
blue,blue_2025-11-26_01-32-05.png,1,blue,2,ashe,14,1,4,5546,0,0
blue,blue_2025-11-26_01-32-05.png,1,blue,3,ana,8,12,0,2449,4147,858
blue,blue_2025-11-26_01-32-05.png,1,blue,4,wuyang,6,0,0,3490,3046,48
blue,blue_2025-11-26_01-32-05.png,0,red,0,dva,1,0,4,4531,0,5199
blue,blue_2025-11-26_01-32-05.png,0,red,1,freja,3,0,0,3362,358,0
blue,blue_2025-11-26_01-32-05.png,0,red,2,hanzo,1,0,2,919,0,0
blue,blue_2025-11-26_01-32-05.png,0,red,3,kiriko,4,0,2,2790,4164,0
blue,blue_2025-11-26_01-32-05.png,0,red,4,moira,3,1,6,1760,5540,949
blue,blue_2025-11-26_01-32-17.png,1,blue,0,sigma,27,5,2,10765,581,13891
blue,blue_2025-11-26_01-32-17.png,1,blue,1,tracer,24,0,4,5606,0,0
blue,blue_2025-11-26_01-32-17.png,1,blue,2,cassidy,21,0,4,8892,0,85
blue,blue_2025-11-26_01-32-17.png,1,blue,3,wuyang,14,10,3,5126,6215,496
blue,blue_2025-11-26_01-32-17.png,1,blue,4,kiriko,12,27,3,3262,7986,0
blue,blue_2025-11-26_01-32-17.png,0,red,0,doomfist,8,1,7,7990,120,11200
blue,blue_2025-11-26_01-32-17.png,0,red,1,ashe,0,0,0,6296,497,131
blue,blue_2025-11-26_01-32-17.png,0,red,2,symmetra,8,1,8,5709,17,280
blue,blue_2025-11-26_01-32-17.png,0,red,3,ana,6,0,9,1320,7891,183
blue,blue_2025-11-26_01-32-17.png,0,red,4,kiriko,6,7,6,2910,7288,0
blue,blue_2025-11-26_01-32-38.png,1,blue,0,wrecking_ball,12,0,1,3954,0,2111
blue,blue_2025-11-26_01-32-38.png,1,blue,1,cassidy,11,0,4,4864,0,75
blue,blue_2025-11-26_01-32-38.png,1,blue,2,widowmaker,6,0,1,2396,0,0
blue,blue_2025-11-26_01-32-38.png,1,blue,3,moira,8,7,3,3193,2807,0
blue,blue_2025-11-26_01-32-38.png,1,blue,4,ana,0,6,2,1358,2889,66
blue,blue_2025-11-26_01-32-38.png,0,red,0,dva,5,0,5,4493,0,2474
blue,blue_2025-11-26_01-32-38.png,0,red,1,ashe,7,0,2,4227,0,0
blue,blue_2025-11-26_01-32-38.png,0,red,2,cassidy,3,0,4,3749,0,65
blue,blue_2025-11-26_01-32-38.png,0,red,3,ana,0,3,4,542,3750,0
blue,blue_2025-11-26_01-32-38.png,0,red,4,kiriko,4,0,5,3102,2276,0
blue,blue_2025-11-26_01-32-51.png,1,blue,0,winston,13,5,2,5941,282,9549
blue,blue_2025-11-26_01-32-51.png,1,blue,1,cassidy,12,0,2,5884,0,44
blue,blue_2025-11-26_01-32-51.png,1,blue,2,echo,8,3,3,4587,269,389
